Team,Seasons,Team Colour
Arsenal,20,#EF0107
Aston Villa,20,#7A003C
Barnsley,1,orangered
Birmingham City,7,royalblue
Blackburn Rovers,14,blue
Blackpool,1,#F28500
Bolton Wanderers,12,navy
Bournemouth,1,darkred
Bradford City,2,#FFC200
Burnley,2, #53162F
Cardiff City,1,red
Charlton Athletic,8,red
Chelsea,20,#034694
Coventry City,5,skyblue1
Crystal Palace,5,#C4122E
Derby County,7,black
Everton,20,#274488
Fulham,13,black
Hull City,4,#F5A12D
Ipswich Town,2,blue2
Leeds United,8,yellow
Leicester City,9,#0053A0
Liverpool,20,#D00027
Manchester City,15,#5CBFEB
Manchester United,20,#DA020E
Middlesbrough,12,orangered2
Newcastle United,19,#231F20
Norwich City,5,yellow
Nottingham Forest,2,red
Portsmouth,7,blue
Queens Park Rangers,3,#005CAB
Reading,3,blue
Sheffield United,1,firebrick
Sheffield Wednesday,4,dodgerblue
Southampton,13,#ED1A3B
Stoke City,8,#E03A3E
Sunderland,15,#EB172B
Swansea City,5,black
Tottenham Hotspur,20,#001C58
Watford,3,yellow1
West Brom,10,#091453
West Ham United,17,#60223B
Wigan Athletic,8,blue
Wimbledon,4,darkblue
Wolves,4,darkorange
Brighton,1,#0A56A3
Huddersfield Town,1,#0E63AD
